x_body,y_body,z_body,x_eef,y_eef,z_eef,err_angle
-0.177270472,-0.453815084,0.873285205,-0.368626362,-0.194591757,0.908982207,18.65604556
-0.621327161,-0.246240782,0.743853505,-0.439894897,-0.340841129,0.830854864,12.76566717
-0.552974029,-0.312676037,0.772303968,-0.365216522,-0.642521203,0.673634467,22.6154127
-0.220487008,0.103366431,0.969897345,-0.285138997,-0.161098271,0.944850835,15.71399799
-0.404297615,-0.148367878,0.902513386,-0.394506599,-0.346267356,0.851154194,11.74842133
-0.544543162,-0.561602826,0.622956668,-0.136445871,-0.767480296,0.626383683,26.42345552
-0.124239524,0.018315206,0.992083209,-0.05440268,-0.173289887,0.983367156,11.71571119
-0.328514353,-0.252539059,0.910111171,-0.068238896,-0.452451021,0.889174632,18.92803041
-0.259071542,-0.723690433,0.639651541,-0.078479422,-0.855240101,0.51225516,14.77704192
0.177936705,-0.090601135,0.979862217,0.005928142,-0.204924812,0.978759766,11.85490732
0.111998238,-0.503905765,0.856466797,0.059667757,-0.50557841,0.860714953,3.010051389
0.142385559,-0.839530334,0.524323537,0.013502708,-0.849603566,0.527248952,7.414031432
